test_task,score
conclusion_generation_belief_generation_alshomary21,0.4133
counter_argument_generation_candela_hua19,0.4256
counter_argument_generation_cmv_hua18,0.4378
claim_optimization_claim_revisions_skitalinskaya23,0.4318
argument_generation_argu_saha23,0.4218
warrant_generation_ideological_debate_chakarbarty21,0.3358
warrant_generation_microtext_1_chakarbarty21,0.4193
argument_summarization_open_debate_evidence_roush23,0.4066
warrant_generation_art_chakarbarty21,0.4104
warrant_generation_arc_chakarbarty21,0.4085
