test_task,score
counter_argument_generation_cmv_hua18,0.4305
conclusion_generation_belief_generation_alshomary21,0.4157
counter_argument_generation_candela_hua19,0.4192
argument_summarization_open_debate_evidence_roush23,0.4254
argument_generation_argu_saha23,0.4291
claim_optimization_claim_revisions_skitalinskaya23,0.4636
warrant_generation_ideological_debate_chakarbarty21,0.2947
warrant_generation_arc_chakarbarty21,0.4187
warrant_generation_art_chakarbarty21,0.4127
warrant_generation_microtext_1_chakarbarty21,0.4293
