test_task,score
conclusion_generation_belief_generation_alshomary21,0.4275
counter_argument_generation_candela_hua19,0.4202
counter_argument_generation_cmv_hua18,0.423
claim_optimization_claim_revisions_skitalinskaya23,0.5828
argument_generation_argu_saha23,0.4645
warrant_generation_ideological_debate_chakarbarty21,0.3879
warrant_generation_microtext_1_chakarbarty21,0.5122
argument_summarization_open_debate_evidence_roush23,0.4242
warrant_generation_art_chakarbarty21,0.461
warrant_generation_arc_chakarbarty21,0.4822
