test_task,score
argument_relation_identification_erulemaking_park18,0.3377
argument_relation_identification_microtexts_1_peldzus15,0.6466
argument_relation_identification_political_debates_menini18,0.3418
argument_relation_identification_microtexts_2_skeppstedt18,0.6617
argument_unit_classification_erulemaking_park16,0.3345
argument_unit_classification_editorials_alkhatib16,0.1922
premise_extraction_ibm_evidence_sentence_eindor20,0.2867
argument_unit_segmentation_editorials_ajjour17,0.3555
argument_unit_segmentation_essays_ajjour17,0.3324
argument_unit_classification_essays_stab17,0.51
argument_relation_detection_echr_poudyal20,0.3038
conclusion_extraction_echr_poudyal20,0.4634
premise_extraction_echr_poudyal20,0.168
argument_unit_segmentation_echr_poudyal20,0.3307
argument_relation_identification_essays_stab17,0.6936
argument_unit_segmentation_webDiscourse_ajjour17,0.1157
