test_task,score
conclusion_generation_belief_generation_alshomary21,0.4436
counter_argument_generation_candela_hua19,0.4439
counter_argument_generation_cmv_hua18,0.4562
claim_optimization_claim_revisions_skitalinskaya23,0.6613
argument_generation_argu_saha23,0.4821
warrant_generation_ideological_debate_chakarbarty21,0.3545
warrant_generation_microtext_1_chakarbarty21,0.4891
argument_summarization_open_debate_evidence_roush23,0.4271
warrant_generation_art_chakarbarty21,0.4452
warrant_generation_arc_chakarbarty21,0.4503
