test_task,score
argument_relation_identification_erulemaking_park18,0.3659
argument_relation_identification_microtexts_1_peldzus15,0.7188
argument_relation_identification_political_debates_menini18,0.2452
argument_relation_identification_microtexts_2_skeppstedt18,0.6646
argument_unit_classification_erulemaking_park16,0.3978
argument_unit_classification_editorials_alkhatib16,0.3703
premise_extraction_ibm_evidence_sentence_eindor20,0.4591
argument_unit_segmentation_editorials_ajjour17,0.5779
argument_unit_segmentation_essays_ajjour17,0.2462
argument_unit_classification_essays_stab17,0.5572
argument_relation_detection_echr_poudyal20,0.1781
conclusion_extraction_echr_poudyal20,0.1615
premise_extraction_echr_poudyal20,0.0179
argument_unit_segmentation_echr_poudyal20,0.1357
argument_relation_identification_essays_stab17,0.734
argument_unit_segmentation_webDiscourse_ajjour17,0.2675
