test_task,score
argument_relation_identification_erulemaking_park18,0.3412
argument_relation_identification_microtexts_1_peldzus15,0.4719
argument_relation_identification_political_debates_menini18,0.261
argument_relation_identification_microtexts_2_skeppstedt18,0.491
argument_unit_classification_erulemaking_park16,0.1732
argument_unit_classification_editorials_alkhatib16,0.1082
premise_extraction_ibm_evidence_sentence_eindor20,0.426
argument_unit_segmentation_editorials_ajjour17,0.2215
argument_unit_segmentation_essays_ajjour17,0.1817
argument_unit_classification_essays_stab17,0.3433
argument_relation_detection_echr_poudyal20,0.4052
conclusion_extraction_echr_poudyal20,0.2826
premise_extraction_echr_poudyal20,0.3332
argument_unit_segmentation_echr_poudyal20,0.0272
argument_relation_identification_essays_stab17,0.3714
argument_unit_segmentation_webDiscourse_ajjour17,0.168
