test_task,score
argument_relation_identification_erulemaking_park18,0.4908
argument_relation_identification_microtexts_1_peldzus15,0.6672
argument_relation_identification_political_debates_menini18,0.4091
argument_relation_identification_microtexts_2_skeppstedt18,0.6036
argument_unit_classification_erulemaking_park16,0.3105
argument_unit_classification_editorials_alkhatib16,0.3261
premise_extraction_ibm_evidence_sentence_eindor20,0.5633
argument_unit_segmentation_editorials_ajjour17,0.4705
argument_unit_segmentation_essays_ajjour17,0.2847
argument_unit_classification_essays_stab17,0.4748
argument_relation_detection_echr_poudyal20,0.1554
conclusion_extraction_echr_poudyal20,0.4869
premise_extraction_echr_poudyal20,0.3404
argument_unit_segmentation_echr_poudyal20,0.4195
argument_relation_identification_essays_stab17,0.6794
argument_unit_segmentation_webDiscourse_ajjour17,0.2241
