test_task,score
conclusion_generation_belief_generation_alshomary21,0.4273
counter_argument_generation_candela_hua19,0.428
counter_argument_generation_cmv_hua18,0.4447
claim_optimization_claim_revisions_skitalinskaya23,0.5103
argument_generation_argu_saha23,0.4398
warrant_generation_ideological_debate_chakarbarty21,0.3543
warrant_generation_microtext_1_chakarbarty21,0.4762
argument_summarization_open_debate_evidence_roush23,0.4159
warrant_generation_art_chakarbarty21,0.4396
warrant_generation_arc_chakarbarty21,0.4457
