test_task,score
argument_relation_identification_erulemaking_park18,0.4098
argument_relation_identification_microtexts_1_peldzus15,0.5498
argument_relation_identification_political_debates_menini18,0.2761
argument_relation_identification_microtexts_2_skeppstedt18,0.5725
argument_unit_classification_erulemaking_park16,0.0806
argument_unit_classification_editorials_alkhatib16,0.1762
premise_extraction_ibm_evidence_sentence_eindor20,0.493
argument_unit_segmentation_editorials_ajjour17,0.4428
argument_unit_segmentation_essays_ajjour17,0.2133
argument_unit_classification_essays_stab17,0.5297
argument_relation_detection_echr_poudyal20,0.1374
conclusion_extraction_echr_poudyal20,0.4982
premise_extraction_echr_poudyal20,0.499
argument_unit_segmentation_echr_poudyal20,0.2483
argument_relation_identification_essays_stab17,0.5623
argument_unit_segmentation_webDiscourse_ajjour17,0.2596
