Dataset,Task,Evaluation Metric (Used),Evaluation Metric (Paper)
candela,argument-generation,"BLEU, METEOR, ROUGE","BLEU-2, BLEU-4, Rouge-2, METEOR"
claim-revisions,argument-ranking,"Pearson, Spearman, MRR","Pearson, Spearman, Top-1, NDCG, MRR"
dagstuhl-15512,argument-ranking,"Pearson, Spearman, MRR",look citing
ibm-rank-30k,argument-ranking,"Pearson, Spearman, MRR","Pearson, Spearman "
ibm-evidence-quality,argument-ranking,,Accuracy
essays,argument-relation-identification,"BLEU, METEOR, Macro F1",Macro F1
erulemaking,argument-relation-identification,"BLEU, METEOR, Macro F2",Macro F1
microtexts1,argument-relation-identification,"BLEU, METEOR, Macro F3",Macro F1
microtexts2,argument-relation-identification,"BLEU, METEOR, Macro F4",Macro F1
political-debates,argument-relation-identification,"BLEU, METEOR, Macro F5",Macro F1
ukp-aspect,argument-similarity,,Macro F1
essays,argument-unit-classification,"BLEU, METEOR, Macro F1",Macro F1
erulemaking,argument-unit-classification,"BLEU, METEOR, Macro F2",Macro F1
microtexts1,argument-unit-classification,"BLEU, METEOR, Macro F3",Macro F1
microtexts2,argument-unit-classification,"BLEU, METEOR, Macro F4",Macro F1
essays,argument-unit-segmentation,"BLEU, METEOR, Macro F5",Macro F1
webis-editorials,argument-unit-classification,"BLEU, METEOR, Macro F1",Macro F1
webis-editorials,argument-unit-segmentation,"BLEU, METEOR, Macro F2",Macro F1
web-discourse,argument-unit-segmentation,"BLEU, METEOR, Macro F3",Macro F1
ukp-corpus,aspect-detection,Macro F1,Macro F1
ukp-corpus,aspect-argument-generation,"BLEU, METEOR, ROUGE","METEOR, ROUGE-L"
claim revisions,claim-improvement-detection,Macro F1,Macro F1
claim revisions,claim-optimization,"BLEU, METEOR, ROUGE","BLEU, Rouge-L, SARI"
ibm-claim-evidence,conclusion-extraction,Macro F1,"precision, recall, p@50, r@50"
belief-arguments,conclusion-generation,"BLEU, METEOR, ROUGE","BLEU-1, BLEU-3, METEOR"
ibm-claim-generation,conclusion-generation,"BLEU, METEOR, ROUGE",Perplexity
cmv,counter-argument-generation,"BLEU, METEOR, ROUGE","BLEU, METEOR"
argu,premise-extraction,Macro F1,F1
argu,scheme-classification,Macro F1,F1
argu,factual-argument-generation,"BLEU, METEOR, ROUGE","BLEU, Rouge-L, SARI"
cmv-adhominem,fallcay-detection,Macro F1,Accuracy
elecdeb60t020,fallcy-detection,Macro F1,Macro F1
logic,fallcy-detection,Macro F1,Macro F1
webis-argument-framing-19,frame-identification,Macro F1,Bcubed F1
argkp-2021,key-point-matching,Macro F1,Macro F1
ibm-claim-evidence,premise-extraction,,MRR
ibm-evidence-sentences,premise-extraction,Macro F1,"Accuracy, Precision, Recall"
arc,premise-generation,"BLEU, METEOR, ROUGE","BLUE-1, BLUE-2, BERTScore"
art,premise-generation,"BLEU, METEOR, ROUGE","BLUE-1, BLUE-2, BERTScore"
ideological-debates,premise-generation,"BLEU, METEOR, ROUGE","BLUE-1, BLUE-2, BERTScore"
microtexts-1,premise-generation,"BLEU, METEOR, ROUGE","BLUE-1, BLUE-2, BERTScore"
editorials,scheme-classification,Macro F1,Macro F1
ibm-claim-evidence,scheme-classification,Macro F1,Macro F1
ibmsc,stance-classification,Macro F1,Accuracy
ukp-sentential,stance-classification,Macro F1,Macro F1
semeval-2018-task-12,warrant-identification,Macro F1,Accuracy
