test_task,score
conclusion_generation_belief_generation_alshomary21,0.3807
counter_argument_generation_candela_hua19,0.371
counter_argument_generation_cmv_hua18,0.3758
claim_optimization_claim_revisions_skitalinskaya23,0.1912
argument_generation_argu_saha23,0.4075
warrant_generation_ideological_debate_chakarbarty21,0.3224
warrant_generation_microtext_1_chakarbarty21,0.387
argument_summarization_open_debate_evidence_roush23,0.3867
warrant_generation_art_chakarbarty21,0.3891
warrant_generation_arc_chakarbarty21,0.3925
