test_task,score
argument_relation_identification_erulemaking_park18,0.4173
argument_relation_identification_microtexts_1_peldzus15,0.2946
argument_relation_identification_political_debates_menini18,0.1813
argument_relation_identification_microtexts_2_skeppstedt18,0.5308
argument_unit_classification_erulemaking_park16,0.2808
argument_unit_classification_editorials_alkhatib16,0.1836
premise_extraction_ibm_evidence_sentence_eindor20,0.4157
argument_unit_segmentation_editorials_ajjour17,0.5734
argument_unit_segmentation_essays_ajjour17,0.4288
argument_unit_classification_essays_stab17,0.3878
argument_relation_detection_echr_poudyal20,0.3454
conclusion_extraction_echr_poudyal20,0.3389
premise_extraction_echr_poudyal20,0.4752
argument_unit_segmentation_echr_poudyal20,0.0705
argument_relation_identification_essays_stab17,0.6685
argument_unit_segmentation_webDiscourse_ajjour17,0.132
