test_task,score
argument_relation_identification_erulemaking_park18,0.3576
argument_relation_identification_microtexts_1_peldzus15,0.6604
argument_relation_identification_political_debates_menini18,0.2838
argument_relation_identification_microtexts_2_skeppstedt18,0.6003
argument_unit_classification_erulemaking_park16,0.2052
argument_unit_classification_editorials_alkhatib16,0.0933
premise_extraction_ibm_evidence_sentence_eindor20,0.4215
argument_unit_segmentation_editorials_ajjour17,0.3461
argument_unit_segmentation_essays_ajjour17,0.2028
argument_unit_classification_essays_stab17,0.402
argument_relation_detection_echr_poudyal20,0.4174
conclusion_extraction_echr_poudyal20,0.3286
premise_extraction_echr_poudyal20,0.3346
argument_unit_segmentation_echr_poudyal20,0.2176
argument_relation_identification_essays_stab17,0.5171
argument_unit_segmentation_webDiscourse_ajjour17,0.229
