test_task,score
conclusion_generation_belief_generation_alshomary21,0.4235
counter_argument_generation_candela_hua19,0.4194
counter_argument_generation_cmv_hua18,0.4367
claim_optimization_claim_revisions_skitalinskaya23,0.462
argument_generation_argu_saha23,0.4249
warrant_generation_ideological_debate_chakarbarty21,0.3441
warrant_generation_microtext_1_chakarbarty21,0.4387
argument_summarization_open_debate_evidence_roush23,0.4189
warrant_generation_art_chakarbarty21,0.4201
warrant_generation_arc_chakarbarty21,0.4262
