test_task,score
conclusion_generation_belief_generation_alshomary21,0.3983
counter_argument_generation_candela_hua19,0.4123
counter_argument_generation_cmv_hua18,0.4262
claim_optimization_claim_revisions_skitalinskaya23,0.4333
argument_generation_argu_saha23,0.4166
warrant_generation_ideological_debate_chakarbarty21,0.321
warrant_generation_microtext_1_chakarbarty21,0.4045
argument_summarization_open_debate_evidence_roush23,0.4037
warrant_generation_art_chakarbarty21,0.4005
warrant_generation_arc_chakarbarty21,0.4014
