test_task,score
argument_relation_identification_erulemaking_park18,0.488
argument_relation_identification_essays_stab17,0.6665
argument_relation_identification_microtexts_2_skeppstedt18,0.5167
argument_relation_identification_microtexts_1_peldzus15,0.6889
argument_unit_classification_editorials_alkhatib16,0.3822
argument_relation_identification_political_debates_menini18,0.3314
argument_unit_classification_essays_stab17,0.3353
argument_unit_classification_erulemaking_park16,0.358
premise_extraction_ibm_evidence_sentence_eindor20,0.6288
argument_relation_detection_echr_poudyal20,0.184
argument_unit_segmentation_echr_poudyal20,0.1721
conclusion_extraction_echr_poudyal20,0.467
argument_unit_segmentation_essays_ajjour17,0.2913
argument_unit_segmentation_webDiscourse_ajjour17,0.1487
premise_extraction_echr_poudyal20,0.2667
argument_unit_segmentation_editorials_ajjour17,0.369
