test_task,score
argument_relation_identification_erulemaking_park18,0.4943
argument_relation_identification_microtexts_1_peldzus15,0.5262
argument_relation_identification_political_debates_menini18,0.1876
argument_relation_identification_microtexts_2_skeppstedt18,0.5024
argument_unit_classification_erulemaking_park16,0.2668
argument_unit_classification_editorials_alkhatib16,0.2568
premise_extraction_ibm_evidence_sentence_eindor20,0.5002
argument_unit_segmentation_editorials_ajjour17,0.459
argument_unit_segmentation_essays_ajjour17,0.2185
argument_unit_classification_essays_stab17,0.5226
argument_relation_detection_echr_poudyal20,0.1289
conclusion_extraction_echr_poudyal20,0.4743
premise_extraction_echr_poudyal20,0.4247
argument_unit_segmentation_echr_poudyal20,0.3188
argument_relation_identification_essays_stab17,0.6598
argument_unit_segmentation_webDiscourse_ajjour17,0.2259
