test_task,score
argument_relation_identification_erulemaking_park18,0.4352
argument_relation_identification_essays_stab17,0.412
argument_relation_identification_microtexts_2_skeppstedt18,0.5503
argument_relation_identification_microtexts_1_peldzus15,0.5319
argument_unit_classification_editorials_alkhatib16,0.1196
argument_relation_identification_political_debates_menini18,0.3253
argument_unit_classification_essays_stab17,0.2811
argument_unit_classification_erulemaking_park16,0.1749
premise_extraction_ibm_evidence_sentence_eindor20,0.4176
argument_relation_detection_echr_poudyal20,0.4049
argument_unit_segmentation_echr_poudyal20,0.2887
conclusion_extraction_echr_poudyal20,0.3409
argument_unit_segmentation_essays_ajjour17,0.2547
argument_unit_segmentation_webDiscourse_ajjour17,0.2053
premise_extraction_echr_poudyal20,0.3352
argument_unit_segmentation_editorials_ajjour17,0.4144
