test_task,score
argument_relation_identification_erulemaking_park18,0.057
argument_relation_identification_microtexts_1_peldzus15,0.6715
argument_relation_identification_political_debates_menini18,0.3979
argument_relation_identification_microtexts_2_skeppstedt18,0.6255
argument_unit_classification_erulemaking_park16,0.2664
argument_unit_classification_editorials_alkhatib16,0.2654
premise_extraction_ibm_evidence_sentence_eindor20,0.4058
argument_unit_segmentation_editorials_ajjour17,0.4758
argument_unit_segmentation_essays_ajjour17,0.2874
argument_unit_classification_essays_stab17,0.4474
argument_relation_detection_echr_poudyal20,0.1352
conclusion_extraction_echr_poudyal20,0.4346
premise_extraction_echr_poudyal20,0.2689
argument_unit_segmentation_echr_poudyal20,0.3064
argument_relation_identification_essays_stab17,0.6706
argument_unit_segmentation_webDiscourse_ajjour17,0.21
