test_task,score
argument_relation_identification_erulemaking_park18,0.353
argument_relation_identification_microtexts_1_peldzus15,0.4778
argument_relation_identification_political_debates_menini18,0.346
argument_relation_identification_microtexts_2_skeppstedt18,0.5773
argument_unit_classification_erulemaking_park16,0.1621
argument_unit_classification_editorials_alkhatib16,0.0911
premise_extraction_ibm_evidence_sentence_eindor20,0.4554
argument_unit_segmentation_editorials_ajjour17,0.2695
argument_unit_segmentation_essays_ajjour17,0.2193
argument_unit_classification_essays_stab17,0.3366
argument_relation_detection_echr_poudyal20,0.4156
conclusion_extraction_echr_poudyal20,0.3373
premise_extraction_echr_poudyal20,0.3364
argument_unit_segmentation_echr_poudyal20,0.0068
argument_relation_identification_essays_stab17,0.4875
argument_unit_segmentation_webDiscourse_ajjour17,0.183
