test_task,score
argument_relation_identification_erulemaking_park18,0.4322
argument_relation_identification_microtexts_1_peldzus15,0.5009
argument_relation_identification_political_debates_menini18,0.1333
argument_relation_identification_microtexts_2_skeppstedt18,0.2711
argument_unit_classification_erulemaking_park16,0.1507
argument_unit_classification_editorials_alkhatib16,0.0164
premise_extraction_ibm_evidence_sentence_eindor20,0.461
argument_unit_segmentation_editorials_ajjour17,0.2896
argument_unit_segmentation_essays_ajjour17,0.0653
argument_unit_classification_essays_stab17,0.3574
argument_relation_detection_echr_poudyal20,0.4281
conclusion_extraction_echr_poudyal20,0.4223
premise_extraction_echr_poudyal20,0.4711
argument_unit_segmentation_echr_poudyal20,0.0
argument_relation_identification_essays_stab17,0.5255
argument_unit_segmentation_webDiscourse_ajjour17,0.0
