test_task,score
conclusion_generation_belief_generation_alshomary21,0.4404
counter_argument_generation_candela_hua19,0.425
counter_argument_generation_cmv_hua18,0.4377
claim_optimization_claim_revisions_skitalinskaya23,0.6662
argument_generation_argu_saha23,0.4756
warrant_generation_ideological_debate_chakarbarty21,0.361
warrant_generation_microtext_1_chakarbarty21,0.4822
argument_summarization_open_debate_evidence_roush23,0.4248
warrant_generation_art_chakarbarty21,0.4417
warrant_generation_arc_chakarbarty21,0.4451
