test_task,score
conclusion_generation_belief_generation_alshomary21,0.4385
counter_argument_generation_candela_hua19,0.4366
counter_argument_generation_cmv_hua18,0.4208
claim_optimization_claim_revisions_skitalinskaya23,0.5926
argument_generation_argu_saha23,0.4917
warrant_generation_ideological_debate_chakarbarty21,0.3649
warrant_generation_microtext_1_chakarbarty21,0.4698
argument_summarization_open_debate_evidence_roush23,0.4339
warrant_generation_art_chakarbarty21,0.4611
warrant_generation_arc_chakarbarty21,0.4542
